GameID,Team,Result,Game Time,Side,Patch,Tournament,Date,Region,Champion,Player,Role,Level,Kills,Deaths,Assists,Golds,GPM,GOLD%,VS%,DPM,DMG%,K+A Per Minute,KP%,GD@15
62896,Weibo Gaming,1,2123.0,1,15.1,LPL 2025 Split 1,2025-01-12,CN,Ksante,Breathe,TOP,18.0,4,0,3,14706,416,0.212,0.096,278,0.124,0.2,0.412,-600.0
62896,Weibo Gaming,1,2123.0,1,15.1,LPL 2025 Split 1,2025-01-12,CN,Viego,Tian,JUNGLE,17.0,4,0,5,14586,412,0.21,0.165,283,0.126,0.25,0.529,528.0
62896,Weibo Gaming,1,2123.0,1,15.1,LPL 2025 Split 1,2025-01-12,CN,Aurora,xiaohu,MID,18.0,5,1,8,15720,444,0.226,0.13,1062,0.474,0.37,0.765,1072.0
62896,Weibo Gaming,1,2123.0,1,15.1,LPL 2025 Split 1,2025-01-12,CN,Ashe,Light,ADC,16.0,3,2,6,14688,415,0.211,0.173,441,0.197,0.25,0.529,-199.0
62896,Weibo Gaming,1,2123.0,1,15.1,LPL 2025 Split 1,2025-01-12,CN,Braum,Hang,SUPPORT,14.0,1,2,11,9762,276,0.141,0.436,178,0.079,0.34,0.706,250.0
62896,OMG,0,2123.0,0,15.1,LPL 2025 Split 1,2025-01-12,CN,Gnar,Hery,TOP,17.0,1,2,0,13675,386,0.231,0.159,555,0.262,0.03,0.2,600.0
62896,OMG,0,2123.0,0,15.1,LPL 2025 Split 1,2025-01-12,CN,Nocturne,Heng,JUNGLE,16.0,2,4,1,11555,327,0.195,0.136,309,0.146,0.08,0.6,-528.0
62896,OMG,0,2123.0,0,15.1,LPL 2025 Split 1,2025-01-12,CN,Orianna,Linfeng,MID,17.0,0,3,3,12645,357,0.213,0.081,490,0.231,0.08,0.6,-1072.0
62896,OMG,0,2123.0,0,15.1,LPL 2025 Split 1,2025-01-12,CN,Varus,Starry,ADC,15.0,2,4,2,13590,384,0.229,0.131,452,0.213,0.11,0.8,199.0
62896,OMG,0,2123.0,0,15.1,LPL 2025 Split 1,2025-01-12,CN,Neeko,Moham,SUPPORT,12.0,0,4,3,7787,220,0.131,0.493,312,0.147,0.08,0.6,-250.0
62897,OMG,0,1952.0,1,15.1,LPL 2025 Split 1,2025-01-12,CN,Rumble,Hery,TOP,17.0,6,1,4,13540,416,0.249,0.1,894,0.39,0.31,0.909,-191.0
62897,OMG,0,1952.0,1,15.1,LPL 2025 Split 1,2025-01-12,CN,Maokai,Heng,JUNGLE,14.0,1,6,7,10590,326,0.195,0.199,489,0.213,0.25,0.727,197.0
62897,OMG,0,1952.0,1,15.1,LPL 2025 Split 1,2025-01-12,CN,Ambessa,Linfeng,MID,16.0,4,4,2,11620,357,0.214,0.119,556,0.243,0.18,0.545,-922.0
62897,OMG,0,1952.0,1,15.1,LPL 2025 Split 1,2025-01-12,CN,Jhin,Starry,ADC,15.0,0,3,5,11488,353,0.212,0.082,223,0.097,0.15,0.455,-1727.0
62897,OMG,0,1952.0,1,15.1,LPL 2025 Split 1,2025-01-12,CN,Rell,Moham,SUPPORT,12.0,0,4,9,7043,216,0.13,0.5,129,0.056,0.28,0.818,-245.0
62897,Weibo Gaming,1,1952.0,0,15.1,LPL 2025 Split 1,2025-01-12,CN,Jayce,Breathe,TOP,16.0,5,3,7,12691,390,0.191,0.134,492,0.178,0.37,0.667,191.0
62897,Weibo Gaming,1,1952.0,0,15.1,LPL 2025 Split 1,2025-01-12,CN,Wukong,Tian,JUNGLE,17.0,6,2,6,13963,429,0.21,0.184,434,0.157,0.37,0.667,-197.0
62897,Weibo Gaming,1,1952.0,0,15.1,LPL 2025 Split 1,2025-01-12,CN,Viktor,xiaohu,MID,16.0,1,3,7,12778,393,0.192,0.118,847,0.306,0.25,0.444,922.0
62897,Weibo Gaming,1,1952.0,0,15.1,LPL 2025 Split 1,2025-01-12,CN,Miss Fortune,Light,ADC,17.0,4,1,9,17270,531,0.26,0.097,873,0.316,0.4,0.722,1727.0
62897,Weibo Gaming,1,1952.0,0,15.1,LPL 2025 Split 1,2025-01-12,CN,Rakan,Hang,SUPPORT,13.0,2,2,11,9782,301,0.147,0.467,121,0.044,0.4,0.722,245.0
62898,OMG,0,2014.0,1,15.1,LPL 2025 Split 1,2025-01-12,CN,Aatrox,Hery,TOP,15.0,1,4,5,10286,306,0.176,0.093,406,0.144,0.18,0.333,-403.0
62898,OMG,0,2014.0,1,15.1,LPL 2025 Split 1,2025-01-12,CN,Zyra,Heng,JUNGLE,15.0,6,6,9,12359,368,0.211,0.178,804,0.285,0.45,0.833,936.0
62898,OMG,0,2014.0,1,15.1,LPL 2025 Split 1,2025-01-12,CN,Yone,Linfeng,MID,15.0,6,6,4,12720,379,0.217,0.134,469,0.166,0.3,0.556,178.0
62898,OMG,0,2014.0,1,15.1,LPL 2025 Split 1,2025-01-12,CN,Ziggs,Starry,ADC,16.0,5,3,9,14148,421,0.242,0.079,888,0.314,0.42,0.778,672.0
62898,OMG,0,2014.0,1,15.1,LPL 2025 Split 1,2025-01-12,CN,Leona,Moham,SUPPORT,11.0,0,3,13,8979,267,0.154,0.516,257,0.091,0.39,0.722,1077.0
62898,Weibo Gaming,1,2014.0,0,15.1,LPL 2025 Split 1,2025-01-12,CN,Jax,Breathe,TOP,18.0,8,1,4,16676,497,0.247,0.157,445,0.174,0.36,0.545,403.0
62898,Weibo Gaming,1,2014.0,0,15.1,LPL 2025 Split 1,2025-01-12,CN,Sejuani,Tian,JUNGLE,16.0,0,4,17,11656,347,0.173,0.158,439,0.172,0.51,0.773,-936.0
62898,Weibo Gaming,1,2014.0,0,15.1,LPL 2025 Split 1,2025-01-12,CN,Sylas,xiaohu,MID,16.0,4,8,7,12872,383,0.191,0.103,471,0.184,0.33,0.5,-178.0
62898,Weibo Gaming,1,2014.0,0,15.1,LPL 2025 Split 1,2025-01-12,CN,Jinx,Light,ADC,18.0,8,1,6,17264,514,0.256,0.137,971,0.38,0.42,0.636,-672.0
62898,Weibo Gaming,1,2014.0,0,15.1,LPL 2025 Split 1,2025-01-12,CN,Poppy,Hang,SUPPORT,11.0,2,4,10,8938,266,0.133,0.446,230,0.09,0.36,0.545,-1077.0
62901,LNG Esports,1,2098.0,1,15.1,LPL 2025 Split 1,2025-01-13,CN,Ksante,Zika,TOP,18.0,4,1,14,13958,399,0.214,0.138,551,0.23,0.51,0.9,628.0
62901,LNG Esports,1,2098.0,1,15.1,LPL 2025 Split 1,2025-01-13,CN,Pantheon,WeiWei,JUNGLE,16.0,3,3,6,12270,351,0.188,0.186,432,0.18,0.26,0.45,217.0
62901,LNG Esports,1,2098.0,1,15.1,LPL 2025 Split 1,2025-01-13,CN,Vladimir,Haichao,MID,18.0,6,1,10,15193,435,0.233,0.138,602,0.251,0.46,0.8,-260.0
62901,LNG Esports,1,2098.0,1,15.1,LPL 2025 Split 1,2025-01-13,CN,Kalista,Photic,ADC,16.0,7,4,4,16190,463,0.248,0.155,526,0.22,0.31,0.55,-985.0
62901,LNG Esports,1,2098.0,1,15.1,LPL 2025 Split 1,2025-01-13,CN,Neeko,Zhuo,SUPPORT,12.0,0,5,8,7661,219,0.117,0.384,286,0.119,0.23,0.4,-65.0
62901,TT,0,2098.0,0,15.1,LPL 2025 Split 1,2025-01-13,CN,Rumble,Hoya,TOP,16.0,0,5,6,10822,309,0.181,0.101,486,0.156,0.17,0.429,-628.0
62901,TT,0,2098.0,0,15.1,LPL 2025 Split 1,2025-01-13,CN,Vi,Beichuan,JUNGLE,16.0,2,3,6,11977,343,0.2,0.157,309,0.099,0.23,0.571,-217.0
62901,TT,0,2098.0,0,15.1,LPL 2025 Split 1,2025-01-13,CN,Aurora,SeTab,MID,16.0,2,4,3,12861,368,0.215,0.19,914,0.294,0.14,0.357,260.0
