Name,Season,Region,Games,WinRate,KDA,GPM,GDM,GameDuration,KillsPerGame,DeathsPerGame,TowersKilled,TowersLost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
100 Thieves,15,NA,33,0.576,1.1,1860,63,2061.0,16.7,15.2,6.8,5.3,0.576,0.545,0.606,2.39,0.505,2.3,57.6,120,0.82,0.634,32.6,2869,3.4,1.26,1.51
Anyone s Legend,15,CN,89,0.685,1.49,1926,154,1977.0,18.4,12.3,7.1,4.5,0.674,0.697,0.618,2.64,0.613,2.5,54.5,503,0.72,0.66,33.7,2820,3.4,1.31,1.64
Bilibili Gaming,15,CN,99,0.667,1.31,1927,140,1894.0,17.6,13.4,7.3,4.4,0.485,0.616,0.475,2.56,0.599,2.6,53.5,830,0.64,0.663,33.6,2777,3.3,1.29,1.55
BNK FearX,15,KR,59,0.339,0.77,1790,-112,1853.0,12.8,16.6,5.0,6.4,0.525,0.39,0.441,2.07,0.481,2.7,44.1,-511,0.39,0.442,32.7,2615,3.4,1.33,1.44
Chiefs Esports Club,15,APAC,33,0.152,0.56,1680,-284,1843.0,9.2,16.6,3.2,8.1,0.485,0.242,0.212,1.09,0.239,1.9,30.3,-1460,0.3,0.24,32.4,2063,3.3,1.2,1.33
Cloud9,15,NA,43,0.674,1.48,1915,157,1979.0,15.9,10.7,7.0,4.9,0.605,0.465,0.512,2.65,0.577,2.2,51.2,567,0.79,0.685,34.6,2616,3.0,1.12,1.48
CTBC Flying Oyster,15,APAC,70,0.729,1.47,1925,187,1907.0,15.4,10.5,7.8,4.1,0.529,0.657,0.671,2.63,0.621,2.5,52.2,725,0.6,0.682,34.1,2659,3.6,1.39,1.52
DetonatioN FocusMe,15,APAC,32,0.188,0.66,1717,-208,1944.0,11.7,17.7,3.7,8.3,0.344,0.25,0.313,1.78,0.42,2.3,34.4,-443,0.28,0.25,31.7,2384,2.9,1.32,1.44
Dignitas,15,NA,28,0.286,0.73,1723,-152,2105.0,10.9,14.9,4.4,7.9,0.25,0.321,0.286,1.82,0.378,2.4,42.9,-550,0.36,0.244,33.0,2405,3.3,1.21,1.41
Disguised,15,NA,20,0.1,0.38,1670,-317,1944.0,8.1,21.3,3.4,8.6,0.25,0.55,0.5,1.55,0.332,2.4,40.0,-866,0.25,0.194,31.8,2360,3.6,1.45,1.3
DN Freecs,15,KR,58,0.207,0.64,1732,-202,1959.0,10.1,15.7,3.7,7.9,0.414,0.345,0.259,1.52,0.34,2.4,48.3,-558,0.33,0.31,33.5,2353,3.4,1.32,1.5
Dplus KIA,15,KR,78,0.513,1.13,1830,25,1925.0,14.3,12.7,5.6,5.6,0.436,0.372,0.462,2.27,0.517,2.1,56.4,-8,0.46,0.48,33.5,2550,3.4,1.4,1.62
DRX,15,KR,63,0.365,0.73,1773,-147,1955.0,12.3,16.8,4.5,6.7,0.397,0.397,0.365,1.92,0.427,2.2,47.6,-935,0.4,0.309,33.2,2407,3.3,1.13,1.49
Edward Gaming,15,CN,34,0.412,0.96,1793,-50,2050.0,12.9,13.4,5.5,6.4,0.559,0.441,0.471,2.24,0.477,2.7,61.8,393,0.41,0.362,33.2,2439,3.6,1.38,1.53
FlyQuest,15,NA,42,0.762,1.41,1910,169,2012.0,16.6,11.7,7.8,4.0,0.571,0.738,0.667,2.81,0.62,2.4,52.4,582,0.71,0.626,33.4,2820,3.4,1.09,1.34
Fnatic,15,EUW,57,0.632,1.2,1896,128,1988.0,16.2,13.5,7.1,5.2,0.561,0.491,0.544,2.51,0.551,2.4,54.4,445,0.72,0.587,33.5,2722,3.3,1.04,1.48
Fukuoka SoftBank HAWKS gaming,15,APAC,36,0.278,0.64,1707,-234,1894.0,11.8,18.5,4.1,7.4,0.583,0.222,0.333,1.42,0.331,2.2,58.3,-959,0.42,0.393,31.0,2473,3.1,1.26,1.27
Funplus Phoenix,15,CN,78,0.372,0.86,1820,-105,1957.0,14.7,17.2,5.3,6.8,0.436,0.397,0.231,2.03,0.432,2.3,52.6,-545,0.41,0.344,33.0,2499,3.4,1.35,1.49
FURIA,15,LAT,10,0.4,0.9,1822,-52,2000.0,14.4,16.0,5.4,6.9,0.5,0.7,0.3,2.0,0.44,1.9,10.0,-612,0.6,0.556,32.8,2528,3.0,1.11,1.32
G2 Esports,15,EUW,67,0.582,1.14,1852,71,1999.0,13.8,12.1,7.0,5.3,0.507,0.537,0.522,2.42,0.515,2.2,53.7,569,0.67,0.58,33.5,2443,3.1,1.02,1.51
GAM Esports,15,APAC,73,0.507,0.99,1824,-5,1998.0,12.9,13.0,5.9,6.1,0.534,0.521,0.534,2.3,0.477,2.0,52.8,-77,0.49,0.523,33.7,2335,3.5,1.32,1.37
Gen.G eSports,15,KR,75,0.747,1.42,1957,222,1916.0,16.5,11.6,7.5,3.9,0.48,0.68,0.667,2.65,0.616,3.0,61.3,748,0.65,0.643,34.8,2891,3.4,1.33,1.67
GIANTX,15,EUW,41,0.439,0.92,1800,-48,2056.0,13.0,14.2,5.8,6.8,0.415,0.415,0.488,2.1,0.416,2.9,46.3,-258,0.71,0.469,33.0,2524,3.4,1.28,1.6
Hanwha Life eSports,15,KR,100,0.68,1.28,1905,120,1926.0,16.8,13.0,6.9,4.3,0.51,0.7,0.61,2.51,0.566,2.7,51.0,710,0.61,0.64,34.0,2728,3.4,1.24,1.63
Invictus Gaming,15,CN,90,0.578,1.09,1869,57,2013.0,16.3,14.9,6.4,5.6,0.433,0.567,0.456,2.64,0.573,2.2,46.7,57,0.69,0.567,33.0,2790,3.1,1.17,1.54
Isurus Estral,15,LAT,3,0.333,0.82,1749,-108,2290.0,12.3,15.0,5.0,8.3,0.667,0.0,0.0,2.0,0.313,1.0,66.7,-2364,1.0,0.556,31.6,2316,3.1,1.34,1.5
JD Gaming,15,CN,83,0.602,1.14,1894,90,1972.0,15.4,13.5,7.0,5.3,0.434,0.41,0.277,2.14,0.501,2.2,61.4,301,0.54,0.525,34.0,2670,3.6,1.3,1.45
Karmine Corp,15,EUW,85,0.612,1.14,1883,98,1983.0,15.0,13.1,7.0,5.3,0.4,0.565,0.518,2.74,0.575,2.4,48.2,-110,0.66,0.576,33.8,2706,3.4,1.19,1.56
KT Rolster,15,KR,73,0.534,1.07,1822,-14,1925.0,14.2,13.2,5.5,5.8,0.479,0.521,0.589,2.68,0.596,2.6,47.9,-303,0.55,0.545,33.2,2522,3.5,1.43,1.63
Leviatan,15,LAT,2,0.0,0.4,1637,-365,2109.0,9.5,24.0,1.5,10.5,0.5,0.0,0.0,0.5,0.1,3.5,50.0,-2619,0.5,0.5,31.3,2621,3.3,1.36,1.48
LGD Gaming,15,CN,35,0.429,0.97,1830,-33,1980.0,15.5,15.9,5.4,6.3,0.4,0.457,0.314,2.29,0.523,2.9,42.9,-243,0.54,0.5,32.3,2664,3.1,1.21,1.54
LNG Esports,15,CN,27,0.296,0.8,1761,-110,1932.0,10.4,13.1,4.4,6.9,0.481,0.37,0.148,1.81,0.42,2.6,44.4,-36,0.37,0.347,33.7,2317,3.3,1.24,1.55
LOUD,15,LAT,2,0.0,0.4,1694,-391,1747.0,6.0,15.0,2.5,11.0,0.0,0.0,0.5,0.5,0.125,4.0,50.0,-2058,0.0,0.0,34.8,1669,3.1,1.12,1.17
LYON,15,NA,22,0.364,0.99,1796,-64,2028.0,12.7,12.8,6.0,7.0,0.591,0.273,0.227,2.5,0.501,1.9,31.8,-630,0.45,0.405,33.5,2497,3.3,1.17,1.56
MGN Vikings Esports,15,APAC,51,0.569,1.12,1861,65,1954.0,14.8,13.2,6.3,5.3,0.392,0.588,0.51,2.49,0.574,2.6,49.0,441,0.55,0.512,33.9,2629,3.6,1.25,1.57
Movistar KOI,15,EUW,59,0.593,1.23,1855,67,2021.0,14.5,11.7,6.6,5.4,0.593,0.525,0.542,2.56,0.542,2.7,59.3,493,0.68,0.574,33.7,2491,3.5,1.28,1.7
Ninjas in Pyjamas,15,CN,73,0.425,0.86,1824,-71,1975.0,14.5,16.8,5.2,6.7,0.548,0.452,0.397,2.07,0.454,2.5,46.6,-454,0.59,0.541,32.7,2577,3.1,1.11,1.42
Nongshim RedForce,15,KR,79,0.506,0.93,1852,6,1903.0,14.2,15.2,6.2,5.5,0.532,0.506,0.494,1.89,0.466,3.0,50.6,34,0.7,0.571,33.1,2626,3.6,1.54,1.43
OK BRION,15,KR,61,0.344,0.86,1799,-101,1950.0,12.6,14.5,4.7,6.9,0.639,0.475,0.492,1.9,0.405,2.0,55.7,-194,0.28,0.269,34.3,2441,3.5,1.35,1.51
OMG,15,CN,32,0.313,0.69,1762,-180,1936.0,11.6,16.8,4.2,7.7,0.344,0.406,0.156,1.69,0.391,3.2,37.5,-951,0.47,0.425,33.2,2330,3.4,1.26,1.47
paiN Gaming,15,LAT,2,0.0,0.66,1724,-297,2134.0,13.5,20.5,2.5,10.0,0.0,0.5,0.5,2.5,0.575,2.0,50.0,340,0.5,0.25,32.0,2960,3.9,1.52,1.61
Rogue,15,EUW,29,0.207,0.71,1709,-203,2108.0,11.5,16.2,4.8,8.3,0.483,0.414,0.483,2.34,0.457,2.8,41.4,-553,0.55,0.33,31.6,2314,3.5,1.2,1.29
Royal Never Give Up,15,CN,31,0.323,0.75,1763,-145,2021.0,12.0,16.1,4.5,7.4,0.387,0.419,0.323,1.84,0.38,2.2,22.6,-519,0.35,0.25,33.7,2285,3.4,1.32,1.57
Shopify Rebellion,15,NA,38,0.368,0.75,1733,-139,2147.0,11.7,15.6,4.9,7.4,0.421,0.316,0.447,2.13,0.41,2.3,52.6,-612,0.5,0.363,32.2,2447,3.2,1.14,1.35
SK Gaming,15,EUW,28,0.214,0.49,1695,-283,1892.0,9.1,18.7,4.0,8.5,0.393,0.286,0.321,1.71,0.375,2.5,32.1,-1086,0.25,0.2,32.3,2236,3.1,1.18,1.33
T1,15,KR,69,0.638,1.27,1923,130,1967.0,16.6,12.9,6.9,4.6,0.594,0.536,0.522,2.26,0.531,2.3,36.2,711,0.74,0.718,34.4,2812,3.6,1.35,1.53
TALON,15,APAC,63,0.603,1.19,1846,74,1940.0,13.9,11.6,6.8,5.2,0.54,0.619,0.492,2.22,0.526,2.4,50.8,5,0.68,0.648,33.0,2662,3.4,1.24,1.58
Team BDS,15,EUW,38,0.395,0.99,1783,-53,2144.0,14.9,15.1,6.0,6.7,0.632,0.579,0.711,2.53,0.48,3.0,63.2,189,0.71,0.5,31.9,2700,3.3,1.28,1.52
Team Heretics,15,EUW,39,0.385,0.73,1746,-167,2005.0,11.0,15.1,4.6,8.1,0.436,0.359,0.333,2.05,0.408,2.4,46.2,-750,0.36,0.279,33.5,2408,3.3,1.23,1.56
Team Liquid,15,NA,53,0.547,1.1,1821,27,1973.0,14.2,12.9,6.3,5.5,0.604,0.623,0.585,2.53,0.555,2.8,50.9,560,0.64,0.549,32.4,2598,3.3,1.26,1.49
Team Secret Whales,15,APAC,40,0.575,1.19,1843,54,1936.0,14.8,12.3,5.8,5.5,0.5,0.5,0.675,2.7,0.615,2.8,65.0,599,0.35,0.399,33.8,2590,3.5,1.36,1.5
Team Vitality,15,EUW,35,0.429,0.91,1804,-35,2069.0,14.8,16.1,6.0,6.8,0.514,0.514,0.314,2.14,0.433,2.9,40.0,-453,0.51,0.465,32.3,2655,3.4,1.36,1.44
Team WE,15,CN,85,0.412,0.87,1824,-78,1944.0,14.5,16.7,5.1,6.7,0.576,0.494,0.459,2.16,0.492,2.2,40.0,-329,0.52,0.462,33.2,2605,3.3,1.32,1.56
Top Esports,15,CN,105,0.629,1.04,1894,88,1943.0,16.0,15.3,6.8,4.8,0.495,0.552,0.486,2.14,0.514,2.9,46.7,481,0.54,0.55,33.8,2887,3.4,1.34,1.55
TT,15,CN,73,0.356,0.72,1784,-126,1845.0,12.2,16.9,4.7,7.0,0.479,0.342,0.37,1.7,0.394,3.0,61.1,-711,0.34,0.362,32.9,2519,3.4,1.38,1.44
Ultra Prime,15,CN,40,0.375,0.88,1776,-80,1991.0,12.6,14.3,5.0,6.4,0.575,0.35,0.425,2.25,0.489,2.4,57.5,-394,0.65,0.529,32.9,2343,3.6,1.48,1.44
Weibo Gaming,15,CN,83,0.482,1.02,1830,-6,1962.0,14.3,14.0,5.8,6.0,0.53,0.482,0.398,2.35,0.505,2.5,54.2,124,0.48,0.462,33.2,2487,3.4,1.3,1.56
