Name,Season,Region,Games,WinRate,KDA,GPM,GDM,GameDuration,KillsPerGame,DeathsPerGame,TowersKilled,TowersLost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
100 Thieves,S15,NA,65,60.0%,1.09,1870,68,33:47,16.3,14.9,6.6,5.1,44.6,50.8,55.4,2.60,55.3,1.8,50.8,52.3,0.97,-0.1,-161,3.49,0.72,62.8,33.0,2841,3.3,1.19,1.52
Anyone s Legend,S15,CN,173,64.2%,1.33,1908,119,32:28,17.4,13.1,6.5,4.7,55.5,65.3,59.0,2.40,56.0,2.2,54.1,11.6,0.61,0.2,387,2.16,0.66,61.8,33.5,2808,3.5,1.36,1.63
Bilibili Gaming,S15,CN,172,62.2%,1.24,1914,118,32:19,17.5,14.0,7.0,4.7,51.7,58.7,51.7,2.51,57.9,2.0,56.7,7.6,1.17,0.1,833,4.25,0.65,60.9,33.4,2810,3.4,1.28,1.58
BNK FearX,S15,KR,105,43.8%,0.91,1833,-41,31:18,14.6,16.0,5.6,5.9,51.4,42.9,49.5,2.23,52.0,2.3,42.9,40.0,0.91,0.0,-270,3.63,0.46,49.2,32.5,2715,3.5,1.33,1.48
Chiefs Esports Club,S15,OCE,47,19.1%,0.62,1696,-250,30:58,9.8,15.9,3.4,7.8,51.1,29.8,27.7,1.34,29.5,1.7,32.6,21.3,0.51,-0.2,-1141,2.49,0.34,27.0,32.4,2137,3.3,1.17,1.33
Cloud9,S15,NA,66,63.6%,1.39,1913,142,33:04,15.8,11.4,6.8,5.0,54.5,45.5,50.0,2.61,56.7,1.9,53.0,56.1,0.94,-0.1,519,3.30,0.73,63.6,34.7,2659,3.1,1.10,1.49
CTBC Flying Oyster,S15,TW,108,70.4%,1.36,1926,162,32:02,15.5,11.4,7.4,4.2,53.7,65.7,66.7,2.67,62.1,2.2,55.1,64.8,0.93,0.2,586,4.85,0.66,69.3,34.1,2685,3.7,1.43,1.57
DetonatioN FocusMe,S15,JP,53,26.4%,0.74,1733,-171,31:51,12.1,16.4,4.0,7.5,35.8,32.1,43.4,1.83,44.0,2.0,34.6,39.6,0.79,-0.1,-350,3.11,0.28,28.7,31.8,2453,3.0,1.35,1.48
Dignitas,S15,NA,39,25.6%,0.71,1738,-154,34:26,10.9,15.3,4.4,7.9,30.8,38.5,33.3,1.79,38.0,2.1,46.2,33.3,0.69,0.0,-477,2.87,0.36,27.3,33.1,2356,3.4,1.22,1.49
Disguised,S15,NA,37,27.0%,0.56,1733,-204,32:49,10.0,17.9,4.4,7.5,35.1,54.1,51.4,2.00,41.9,2.0,35.1,37.8,0.78,0.0,-448,3.70,0.38,32.4,32.6,2414,3.7,1.48,1.46
DN Freecs,S15,KR,88,23.9%,0.71,1751,-163,33:01,11.0,15.6,4.0,7.5,46.6,40.9,33.0,1.67,37.1,2.0,50.0,50.0,0.52,-0.1,-280,2.99,0.32,29.3,33.3,2444,3.4,1.32,1.51
Dplus KIA,S15,KR,131,55.7%,1.10,1848,32,32:44,14.7,13.4,6.0,5.4,45.0,42.7,47.3,2.38,52.4,1.9,52.7,42.7,0.87,0.0,193,3.45,0.50,48.7,33.7,2631,3.4,1.38,1.63
DRX,S15,KR,97,39.2%,0.79,1788,-103,33:23,13.1,16.4,4.9,6.5,48.5,41.2,42.3,2.03,42.9,2.0,53.6,41.2,0.74,-0.2,-720,2.77,0.56,43.8,32.9,2515,3.3,1.15,1.51
Edward Gaming,S15,CN,68,52.9%,1.15,1859,46,32:50,14.9,13.0,6.1,5.6,60.3,41.2,45.6,2.37,54.0,1.9,57.4,-,-,-,548,-,0.49,50.0,33.5,2572,3.6,1.33,1.56
FlyQuest,S15,NA,79,73.4%,1.38,1917,160,33:16,16.8,12.2,7.5,4.1,51.9,69.6,64.6,2.70,59.4,2.0,48.1,67.1,0.82,0.2,439,4.20,0.70,60.3,33.5,2869,3.4,1.04,1.32
Fnatic,S15,EUW,74,63.5%,1.19,1897,118,33:04,15.7,13.1,6.9,5.3,60.8,48.6,54.1,2.58,57.0,2.1,54.1,59.5,0.93,0.1,348,4.74,0.69,57.4,33.8,2697,3.3,1.08,1.48
Fukuoka SoftBank HAWKS gaming,S15,JP,54,31.5%,0.66,1732,-190,31:18,12.1,18.3,4.4,7.2,51.9,27.8,33.3,1.48,35.8,2.0,51.9,37.0,0.65,0.0,-857,2.46,0.41,40.0,31.4,2512,3.1,1.20,1.26
Funplus Phoenix,S15,CN,115,32.2%,0.78,1784,-156,32:33,13.7,17.5,4.6,7.1,43.5,33.9,26.1,1.97,41.8,2.1,54.8,-,-,-,-630,-,0.37,30.6,32.6,2462,3.4,1.34,1.49
FURIA,S15,LAT,13,38.5%,0.89,1811,-76,33:00,14.2,16.0,5.2,7.0,53.8,69.2,38.5,1.92,41.6,1.8,23.1,38.5,0.69,0.0,-627,3.62,0.54,60.0,32.6,2557,3.1,1.19,1.33
G2 Esports,S15,EUW,100,59.0%,1.20,1858,73,32:40,13.9,11.5,6.8,5.3,51.0,53.0,54.0,2.47,53.4,1.9,49.0,57.0,1.00,0.1,433,4.47,0.64,58.4,33.6,2514,3.2,1.08,1.54
GAM Esports,S15,VN,95,48.4%,0.97,1826,-17,33:23,13.3,13.6,5.8,6.1,55.8,53.7,55.8,2.28,47.1,1.9,57.4,44.2,0.84,0.0,-35,3.40,0.47,47.9,33.7,2393,3.5,1.32,1.39
Gen.G eSports,S15,KR,143,72.0%,1.39,1948,194,31:52,16.2,11.6,7.2,4.0,54.5,58.7,62.9,2.67,61.4,2.3,55.2,61.5,0.98,0.1,733,3.87,0.62,62.0,34.8,2850,3.5,1.30,1.70
GIANTX,S15,EUW,57,47.4%,1.00,1826,-17,33:49,13.6,13.6,6.1,6.5,52.6,43.9,54.4,2.11,42.8,2.7,54.4,45.6,0.84,-0.1,16,3.44,0.74,52.2,33.1,2593,3.4,1.29,1.60
Hanwha Life eSports,S15,KR,139,66.2%,1.24,1903,106,32:20,16.7,13.5,6.7,4.6,50.4,67.6,59.0,2.46,55.5,2.3,48.9,56.8,0.81,0.1,564,3.91,0.66,65.1,33.9,2736,3.4,1.26,1.66
Invictus Gaming,S15,CN,132,59.8%,1.09,1869,56,33:12,16.5,15.2,6.4,5.4,45.5,54.5,46.2,2.63,58.1,2.0,47.0,-,-,-,-89,-,0.65,56.4,32.7,2837,3.1,1.18,1.53
Isurus,S15,LAT,3,33.3%,0.82,1749,-108,38:10,12.3,15.0,5.0,8.3,66.7,-,-,2.00,31.3,1.0,66.7,-,1.00,-1.7,-2364,5.00,1.00,55.6,31.6,2316,3.1,1.34,1.50
JD Gaming,S15,CN,137,54.0%,1.05,1852,28,32:25,14.6,13.9,6.1,5.5,47.4,42.3,34.3,2.00,46.1,1.9,57.7,-,-,-,67,-,0.50,48.9,33.5,2595,3.6,1.28,1.43
Karmine Corp,S15,EUW,104,60.6%,1.18,1880,97,33:10,14.8,12.6,6.9,5.4,42.3,53.8,52.9,2.73,57.3,2.3,48.1,51.9,0.94,0.1,-52,4.18,0.65,55.3,33.8,2690,3.4,1.19,1.57
KT Rolster,S15,KR,111,48.6%,1.02,1815,-40,32:11,14.3,14.1,5.2,6.0,46.8,47.7,52.3,2.52,55.6,2.1,45.0,55.9,0.95,0.0,-375,3.19,0.51,51.6,32.9,2520,3.5,1.41,1.58
Leviatan,S15,LAT,2,0.0%,0.40,1637,-365,35:09,9.5,24.0,1.5,10.5,50.0,-,-,0.50,10.0,3.5,50.0,-,0.50,-0.5,-2619,2.00,0.50,50.0,31.3,2621,3.3,1.36,1.48
LGD Gaming,S15,CN,62,45.2%,0.92,1833,-32,32:19,14.8,16.0,5.4,5.9,40.3,46.8,37.1,2.13,49.2,2.3,41.9,-,-,-,-381,-,0.47,44.5,32.7,2608,3.1,1.18,1.54
LNG Esports,S15,CN,50,30.0%,0.75,1759,-129,32:36,11.4,15.0,4.5,6.8,52.0,46.0,28.0,1.74,38.6,2.2,52.0,-,-,-,47,-,0.34,33.0,33.3,2373,3.4,1.29,1.56
LOUD,S15,LAT,2,0.0%,0.40,1694,-391,29:07,6.0,15.0,2.5,11.0,-,-,50.0,0.50,12.5,4.0,50.0,-,0.50,-0.5,-2058,3.50,0.00,0.0,34.8,1669,3.1,1.12,1.17
LYON,S15,NA,33,33.3%,0.89,1789,-103,33:31,12.9,14.5,5.5,7.2,57.6,36.4,33.3,2.39,48.4,1.7,39.4,36.4,0.85,-0.1,-320,3.30,0.36,32.8,32.9,2506,3.2,1.17,1.48
MGN Vikings Esports,S15,VN,76,56.6%,1.08,1858,56,33:00,14.4,13.3,6.2,5.4,42.1,52.6,46.1,2.42,54.0,2.1,47.4,48.7,0.84,0.0,373,3.75,0.62,53.1,33.9,2642,3.6,1.24,1.57
Movistar KOI,S15,EUW,92,55.4%,1.09,1860,47,33:45,13.9,12.7,6.4,5.6,47.8,52.2,48.9,2.41,50.9,2.2,62.0,47.8,0.73,0.0,296,4.09,0.65,53.4,34.1,2505,3.5,1.23,1.69
Natus Vincere,S15,EUW,8,0.0%,0.39,1689,-348,32:55,7.5,19.0,3.0,9.5,37.5,37.5,12.5,1.50,30.8,1.3,12.5,25.0,0.75,-0.4,-1670,3.13,0.38,16.7,33.6,2052,3.1,1.00,1.25
Ninjas in Pyjamas,S15,CN,111,48.6%,0.94,1844,-25,32:46,15.2,16.1,5.4,6.1,55.9,48.6,45.9,2.14,47.1,2.2,49.5,-,-,-,-291,-,0.64,59.0,32.9,2587,3.2,1.19,1.50
Nongshim RedForce,S15,KR,117,39.3%,0.78,1826,-72,31:10,13.1,16.7,5.5,6.2,50.4,48.7,44.4,1.61,39.9,2.5,48.7,48.7,0.47,-0.1,-220,3.96,0.56,46.9,32.8,2577,3.6,1.50,1.39
OK BRION,S15,KR,101,38.6%,0.90,1803,-86,32:11,12.8,14.1,4.7,6.8,55.4,45.5,46.5,2.02,44.6,1.6,49.5,35.6,0.87,-0.1,-419,2.62,0.36,33.5,34.1,2492,3.5,1.29,1.51
OMG,S15,CN,32,31.3%,0.69,1762,-180,32:16,11.6,16.8,4.2,7.7,34.4,40.6,15.6,1.69,39.1,3.2,37.5,-,-,-,-951,-,0.47,42.5,33.2,2330,3.4,1.26,1.47
paiN Gaming,S15,LAT,5,0.0%,0.75,1752,-226,36:54,14.8,19.8,3.4,9.2,40.0,40.0,40.0,1.80,39.0,2.2,40.0,20.0,0.60,0.2,-154,3.40,0.60,50.0,31.9,2770,4.0,1.46,1.58
